id,title,url
cKTp8aRNwQuRQ2ph8,Data-driven Product and Customer Experiences at Sonos,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/cKTp8aRNwQuRQ2ph8
psZoQbargDC8N6Ty9,Building on Snowflake: Developer’s Chat + Snowflake Labs,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/psZoQbargDC8N6Ty9
zvHAJWzY9DWn4DGac,Joining the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/zvHAJWzY9DWn4DGac
gkyM272w5Phz8mbLy,A Technical Deep Dive on the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/gkyM272w5Phz8mbLy
yzAoGGENWjAQ8AY8d,How Dataiku and Snowflake Improved Collaboration at DAZN,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/yzAoGGENWjAQ8AY8d
WrjF5rjtK7zLmy2AY,Snowflake for Startups: Emerging Opportunities in Data,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/WrjF5rjtK7zLmy2AY
wqW2wT4TyZk7FqxMb,Talend Drives Data Health for Business Decisions,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/wqW2wT4TyZk7FqxMb
bTLkPPiuDxFkDKhYb,The Data Show with Trevor Noah,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/bTLkPPiuDxFkDKhYb
5K4FPjpvh4cue8Drh,Building a Tightly Governed Data Cloud with Snowflake and Informatica,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/5K4FPjpvh4cue8Drh
ReXRnqEj9Fjm2Pv95,"Harnessing Data to Transform How Medicines Are Developed, Commercialized, and Reimbursed",snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/ReXRnqEj9Fjm2Pv95
SBtoNFeaRqY9YCN4G,Ease of Performance: Best Practices Using the Latest Performance Features with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/SBtoNFeaRqY9YCN4G
eg9sb8qRrkeHBdBm8,The Community-Driven Activity Every Snowflake User Should Participate In,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/eg9sb8qRrkeHBdBm8
gK8SWinGPoy4YNAyQ,Domino's Pizza Enterprises Limited's Journey to the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/gK8SWinGPoy4YNAyQ
ibSsjsxFSQssD6hvm,How I Built This,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/ibSsjsxFSQssD6hvm
oj8w5sRX2K8HoQrFq,Accelerate Your AI and ML Adoption with AWS and Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/oj8w5sRX2K8HoQrFq
zWDQ8eEmwnwFaF4PT,HP + ThoughtSpot: How to Use Search & AI to Unleash the True Value from Snowflake Data,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/zWDQ8eEmwnwFaF4PT
Zxu9ado7JoD8H7Zpt,Democratizing AI and Advanced Analytics with Dataiku x Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/Zxu9ado7JoD8H7Zpt
jcSdke4zaFivfgc8b,SDG Advanced Analytics and Snowflake: Predict and Increase New and Seasonal Product Sales,snowflake.events.cube365.net/snowflake/summit-2020-emea/content/Videos/jcSdke4zaFivfgc8b
